PRODUCT_ID,PRODUCT_DESCRIPTION
49034,product49034
13789,product13789
25361,product25361
52160,product52160
70177,product70177
64281,product64281
69862,product69862
81684,product81684
38794,product38794
33224,product33224
58740,product58740
48463,product48463
57221,product57221
66459,product66459
47418,product47418
92076,product92076
5498,product5498
67660,product67660
10620,product10620
71038,product71038
3072,product3072
98630,product98630
89015,product89015
55998,product55998
31002,product31002
78795,product78795
26977,product26977
51334,product51334
45115,product45115
67770,product67770
62198,product62198
11662,product11662
7100,product7100
98278,product98278
34763,product34763
56212,product56212
20874,product20874
11896,product11896
38067,product38067
50395,product50395
49243,product49243
51047,product51047
21814,product21814
25316,product25316
23464,product23464
25078,product25078
79253,product79253
78213,product78213
27605,product27605
4237,product4237
17511,product17511
39845,product39845
23641,product23641
14630,product14630
2841,product2841
96015,product96015
48135,product48135
24813,product24813
41374,product41374
1788,product1788
39288,product39288
42936,product42936
63748,product63748
83825,product83825
19629,product19629
2619,product2619
86348,product86348
59780,product59780
99831,product99831
10504,product10504
19012,product19012
63358,product63358
78245,product78245
1182,product1182
62666,product62666
25719,product25719
62787,product62787
17153,product17153
83088,product83088
95692,product95692
2827,product2827
9835,product9835
79766,product79766
55216,product55216
53616,product53616
33514,product33514
65314,product65314
44084,product44084
44976,product44976
30600,product30600
91438,product91438
9210,product9210
37663,product37663
24312,product24312
62013,product62013
30997,product30997
65691,product65691
58073,product58073
64979,product64979
60565,product60565
37862,product37862
38077,product38077
85815,product85815
6531,product6531
10208,product10208
90392,product90392
58718,product58718
96374,product96374
90197,product90197
76389,product76389
56246,product56246
81719,product81719
29995,product29995
75669,product75669
70926,product70926
60648,product60648
90476,product90476
45680,product45680
6561,product6561
13260,product13260
45610,product45610
20589,product20589
15326,product15326
69402,product69402
35386,product35386
6983,product6983
46503,product46503
31621,product31621
15252,product15252
79190,product79190
39713,product39713
8145,product8145
62287,product62287
64305,product64305
35357,product35357
82871,product82871
82064,product82064
1748,product1748
71684,product71684
18804,product18804
51095,product51095
77082,product77082
62152,product62152
66222,product66222
67580,product67580
28405,product28405
70364,product70364
96774,product96774
17875,product17875
61693,product61693
74330,product74330
9021,product9021
73435,product73435
77916,product77916
67840,product67840
29074,product29074
41075,product41075
13556,product13556
95011,product95011
26834,product26834
55984,product55984
77399,product77399
32971,product32971
36611,product36611
58987,product58987
47974,product47974
30454,product30454
17959,product17959
26688,product26688
16346,product16346
66648,product66648
77586,product77586
39370,product39370
24598,product24598
26528,product26528
89230,product89230
86265,product86265
90807,product90807
38110,product38110
94300,product94300
69918,product69918
61498,product61498
84765,product84765
71120,product71120
28488,product28488
67610,product67610
6775,product6775
11750,product11750
93640,product93640
84067,product84067
25925,product25925
56697,product56697
53340,product53340
20538,product20538
69277,product69277
77001,product77001
49803,product49803
77774,product77774
6308,product6308
61530,product61530
5044,product5044
85039,product85039
15705,product15705
18311,product18311
14483,product14483
92408,product92408
76382,product76382
50526,product50526
71041,product71041
74368,product74368
39677,product39677
65191,product65191
22632,product22632
79177,product79177
70434,product70434
85129,product85129
94056,product94056
70788,product70788
59629,product59629
18723,product18723
74669,product74669
54235,product54235
79740,product79740
6527,product6527
67976,product67976
14000,product14000
85865,product85865
64835,product64835
84183,product84183
12983,product12983
90468,product90468
32783,product32783
7273,product7273
18384,product18384
67146,product67146
34584,product34584
13248,product13248
13400,product13400
4326,product4326
36998,product36998
44048,product44048
39396,product39396
76604,product76604
55020,product55020
57792,product57792
95602,product95602
49122,product49122
74448,product74448
59261,product59261
27406,product27406
23182,product23182
76283,product76283
3983,product3983
2339,product2339
40051,product40051
86809,product86809
2711,product2711
98604,product98604
21086,product21086
60625,product60625
52336,product52336
43769,product43769
86794,product86794
45904,product45904
31939,product31939
32927,product32927
86157,product86157
18427,product18427
98631,product98631
27298,product27298
81851,product81851
77197,product77197
94556,product94556
14303,product14303
88143,product88143
94547,product94547
93035,product93035
36056,product36056
65803,product65803
25730,product25730
81540,product81540
84892,product84892
11823,product11823
24158,product24158
13945,product13945
15569,product15569
93983,product93983
79690,product79690
44610,product44610
22990,product22990
39254,product39254
14192,product14192
23343,product23343
95259,product95259
21315,product21315
20572,product20572
88432,product88432
55570,product55570
91785,product91785
15782,product15782
95742,product95742
27223,product27223
49352,product49352
55929,product55929
99691,product99691
12026,product12026
96865,product96865
97947,product97947
75399,product75399
1858,product1858
49663,product49663
59770,product59770
39840,product39840
15653,product15653
97815,product97815
56385,product56385
44200,product44200
58523,product58523
36201,product36201
9522,product9522
57292,product57292
33254,product33254
15464,product15464
17227,product17227
51354,product51354
53755,product53755
30190,product30190
41809,product41809
28226,product28226
44073,product44073
9255,product9255
3975,product3975
97684,product97684
29582,product29582
39341,product39341
74813,product74813
79695,product79695
29853,product29853
18641,product18641
45267,product45267
85449,product85449
4202,product4202
1830,product1830
74801,product74801
96644,product96644
20877,product20877
39085,product39085
65569,product65569
33341,product33341
72288,product72288
70665,product70665
3271,product3271
48979,product48979
11342,product11342
36869,product36869
68233,product68233
50503,product50503
51893,product51893
74159,product74159
85243,product85243
7559,product7559
31118,product31118
76756,product76756
6835,product6835
30519,product30519
2237,product2237
43751,product43751
20217,product20217
51931,product51931
54240,product54240
40343,product40343
24833,product24833
12917,product12917
45495,product45495
70634,product70634
77122,product77122
19337,product19337
91442,product91442
75940,product75940
57875,product57875
97378,product97378
32908,product32908
79822,product79822
50021,product50021
49563,product49563
28834,product28834
24547,product24547
34044,product34044
63718,product63718
8007,product8007
65271,product65271
77009,product77009
74544,product74544
60826,product60826
68824,product68824
53358,product53358
77947,product77947
82505,product82505
92741,product92741
12973,product12973
32418,product32418
79929,product79929
24976,product24976
17172,product17172
81342,product81342
36417,product36417
9895,product9895
41377,product41377
65888,product65888
63901,product63901
6746,product6746
50881,product50881
24127,product24127
15289,product15289
44444,product44444
52047,product52047
69373,product69373
42642,product42642
77242,product77242
6054,product6054
22247,product22247
82639,product82639
76437,product76437
59849,product59849
35940,product35940
68156,product68156
24284,product24284
53901,product53901
10076,product10076
43692,product43692
96711,product96711
27534,product27534
54326,product54326
71831,product71831
69095,product69095
90567,product90567
